"DEPCODE","County","State","Facility","Provider Type","Update","Positive Residents","Positive Residents Transferred","Positive Staff"
1,"Alachua","Florida","19TH STREET GROUP HOME","ICF","7/29/2020","0","0","1"
1,"Alachua","Florida","AGENCY FOR PERSONS WITH DISABILITIES TACACHALE - FACILITY I","ICF","7/29/2020","0","0","1"
1,"Alachua","Florida","AGENCY FOR PERSONS WITH DISABILITIES TACACHALE - FACILITY II","ICF","7/29/2020","5","0","3"
1,"Alachua","Florida","AGENCY FOR PERSONS WITH DISABILITIES TACACHALE - FACILITY V","ICF","7/29/2020","21","0","9"
1,"Alachua","Florida","AGENCY FOR PERSONS WITH DISABILITIES, TACACHALE - FACILITY VIII","ICF","7/29/2020","0","0","2"
1,"Alachua","Florida","BROOKDALE GAINESVILLE SOUTHWEST","ALF","7/29/2020","0","0","3"
1,"Alachua","Florida","HARBORCHASE OF GAINESVILLE","ALF","7/29/2020","0","0","4"
1,"Alachua","Florida","NORTH FLORIDA RETIREMENT VILLAGE","ALF","7/29/2020","0","0","9"
1,"Alachua","Florida","OAK HAMMOCK AT THE UNIVERSITY OF FLORIDA INC","NH","7/29/2020","0","0","1"
1,"Alachua","Florida","PALM GARDEN OF GAINESVILLE","NH","7/29/2020","1","2","3"
1,"Alachua","Florida","PARK MEADOWS HEALTH AND REHABILITATION CENTER","NH","7/29/2020","0","0","7"
1,"Alachua","Florida","PARKLANDS CARE CENTER","NH","7/29/2020","0","10","0"
1,"Alachua","Florida","PLANTATION OAKS SENIOR LIVING RESIDENCE","ALF","7/29/2020","10","1","2"
1,"Alachua","Florida","PLAZA HEALTH AND REHAB","NH","7/29/2020","2","1","9"
1,"Alachua","Florida","RES-CARE, INC.","ICF","7/29/2020","0","0","1"
1,"Alachua","Florida","SIGNATURE HEALTHCARE OF GAINESVILLE","NH","7/29/2020","0","1","1"
1,"Alachua","Florida","TACACHALE - FACILITY IV","ICF","7/29/2020","2","0","5"
1,"Alachua","Florida","TERRACE HEALTH & REHABILITATION CENTER","NH","7/29/2020","0","0","5"
2,"Baker","Florida","MACCLENNY NURSING AND REHAB CENTER","NH","7/29/2020","0","0","2"
2,"Baker","Florida","W FRANK WELLS NURSING HOME","NH","7/29/2020","0","1","2"
3,"Bay","Florida","BROOKDALE PANAMA CITY","ALF","7/29/2020","0","0","3"
3,"Bay","Florida","CHARTER SENIOR LIVING OF PANAMA CITY","ALF","7/29/2020","0","0","1"
3,"Bay","Florida","CLIFFORD CHESTER SIMS STATE VETERANS NURSING HOME","NH","7/29/2020","2","4","6"
