"DEPCODE","County","State","Facility","Provider Type","Update","Positive Residents","Positive Residents Transferred","Positive Staff"
1,"Alachua","Florida","AGENCY FOR PERSONS WITH DISABILITIES TACACHALE - FACILITY I","ICF","9/24/2020",1,0,5
1,"Alachua","Florida","AGENCY FOR PERSONS WITH DISABILITIES TACACHALE - FACILITY II","ICF","9/24/2020",0,0,8
1,"Alachua","Florida","AGENCY FOR PERSONS WITH DISABILITIES TACACHALE - FACILITY VII","ICF","9/24/2020",0,0,4
1,"Alachua","Florida","AGENCY FOR PERSONS WITH DISABILITIES, TACACHALE - FACILITY VIII","ICF","9/24/2020",0,0,11
1,"Alachua","Florida","BROOKDALE GAINESVILLE SOUTHWEST","ALF","9/24/2020",0,0,5
1,"Alachua","Florida","AGENCY FOR PERSONS WITH DISABILITIES TACACHALE - FACILITY V","ICF","9/24/2020",0,0,24
1,"Alachua","Florida","NORTH FLORIDA RETIREMENT VILLAGE","ALF","9/24/2020",1,0,0
1,"Alachua","Florida","OAK HAMMOCK AT THE UNIVERSITY OF FLORIDA","ALF","9/24/2020",0,0,1
1,"Alachua","Florida","OAK HAMMOCK AT THE UNIVERSITY OF FLORIDA INC","NH","9/24/2020",0,0,1
1,"Alachua","Florida","PALM GARDEN OF GAINESVILLE","NH","9/23/2020",6,2,2
1,"Alachua","Florida","PARK MEADOWS HEALTH AND REHABILITATION CENTER","NH","9/24/2020",0,0,12
1,"Alachua","Florida","PARKLANDS CARE CENTER","NH","9/24/2020",0,10,1
1,"Alachua","Florida","PLANTATION OAKS SENIOR LIVING RESIDENCE","ALF","9/12/2020",0,3,0
1,"Alachua","Florida","PLAZA HEALTH AND REHAB","NH","9/24/2020",0,1,0
1,"Alachua","Florida","SIGNATURE HEALTHCARE OF GAINESVILLE","NH","9/24/2020",0,1,3
1,"Alachua","Florida","SPLENDID CARE ASSISTED LIVING LLC","ALF","9/22/2020",0,2,0
1,"Alachua","Florida","TACACHALE - FACILITY IV","ICF","9/24/2020",0,0,27
1,"Alachua","Florida","TERRACE HEALTH & REHABILITATION CENTER","NH","9/22/2020",3,2,4
1,"Alachua","Florida","WINDSOR OF GAINESVILLE ASSISTED LIVING & MEMORY CARE THE","ALF","9/24/2020",1,0,0
1,"Alachua","Florida","NORTH FLORIDA REHABILITATION AND SPECIALTY CARE","NH","9/24/2020",0,27,1
2,"Baker","Florida","W FRANK WELLS NURSING HOME","NH","9/24/2020",0,0,3
3,"Bay","Florida","CREATIVE LIVING CENTERS, INC","ALF","9/24/2020",0,0,1
3,"Bay","Florida","EMERALD SHORES HEALTH AND REHABILITATION","NH","9/24/2020",9,3,7
3,"Bay","Florida","MATHISON RETIREMENT COMMUNITY INC","ALF","9/24/2020",0,0,2
3,"Bay","Florida","CLIFFORD CHESTER SIMS STATE VETERANS NURSING HOME","NH","9/24/2020",0,2,1
3,"Bay","Florida","SUPERIOR RESIDENCES OF PANAMA CITY BEACH","ALF","9/24/2020",0,1,2
3,"Bay","Florida","ST ANDREWS BAY SKILLED NURSING AND REHABILITATION CENTER","NH","9/20/2020",0,13,0
4,"Bradford","Florida","RIVERWOOD HEALTH & REHABILITATION CENTER","NH","9/24/2020",0,3,0
4,"Bradford","Florida","WINDSOR HEALTH AND REHABILITATION CENTER","NH","9/24/2020",3,2,3
5,"Brevard","Florida","ATLANTIC SHORES NURSING AND REHAB CENTER","NH","9/24/2020",0,0,1
5,"Brevard","Florida","AVANTE AT MELBOURNE INC","NH","9/24/2020",16,1,1
5,"Brevard","Florida","BETHESDA ON TURKEY CREEK","ALF","9/24/2020",0,11,6
5,"Brevard","Florida","ANCHOR CARE AND REHABILITATION CENTER","NH","9/23/2020",10,0,3
5,"Brevard","Florida","CARRIAGE HOUSE ALF","ALF","9/24/2020",0,5,5
5,"Brevard","Florida","CONSULATE HEALTH CARE OF MELBOURNE","NH","9/24/2020",0,0,3
5,"Brevard","Florida","FOUNTAINS OF MELBOURNE","ALF","9/24/2020",0,0,10
5,"Brevard","Florida","HUNTINGTON PLACE","NH","9/24/2020",2,2,0
5,"Brevard","Florida","INDIAN RIVER CENTER","NH","9/24/2020",0,0,3
5,"Brevard","Florida","ISLAND HEALTH AND REHABILITATION CENTER","NH","9/24/2020",4,0,0
5,"Brevard","Florida","LIFE CARE CENTER OF MELBOURNE","NH","9/24/2020",0,9,0
5,"Brevard","Florida","MARKET STREET VIERA","ALF","9/24/2020",0,0,1
5,"Brevard","Florida","MELBOURNE TERRACE REHABILITATION CENTER","NH","9/23/2020",0,0,1
5,"Brevard","Florida","PALM COTTAGES OF ROCKLEDGE","ALF","9/24/2020",0,3,1
5,"Brevard","Florida","PALMS REHABILITATION AND HEALTHCARE CENTER, THE","NH","9/24/2020",0,9,0
5,"Brevard","Florida","SOLARIS HEALTHCARE MERRITT ISLAND","NH","9/24/2020",0,7,0
5,"Brevard","Florida","BROOKDALE MELBOURNE","ALF","9/24/2020",0,8,0
5,"Brevard","Florida","TITUSVILLE TOWERS ALF","ALF","9/24/2020",0,1,0
5,"Brevard","Florida","VICTORIA LANDING ALF","ALF","9/24/2020",0,2,0
5,"Brevard","Florida","WAVE CREST HEALTH AND REHABILITATION CENTER","NH","9/24/2020",0,1,0
5,"Brevard","Florida","WEST MELBOURNE HEALTH & REHABILITATION CENTER","NH","9/24/2020",6,0,2
5,"Brevard","Florida","SONATA VIERA","ALF","9/24/2020",0,2,0
6,"Broward","Florida","ACTIVE SENIOR LIVING RESIDENCE","ALF","9/24/2020",0,0,1
6,"Broward","Florida","ANN STORCK CENTER, INC.","ICF","9/24/2020",0,0,3
6,"Broward","Florida","ANNIE'S RETIREMENT HOME INC","ALF","9/23/2020",1,0,0
6,"Broward","Florida","ATRIA TAMARAC","ALF","9/24/2020",1,0,0
6,"Broward","Florida","ALEXANDER ""SANDY"" NININGER STATE VETERANS NURSING HOME","NH","9/24/2020",0,37,1
6,"Broward","Florida","AZALEA OPCO LLC","ALF","9/24/2020",0,2,0
6,"Broward","Florida","BARC HOUSING INC.","ICF","9/24/2020",0,0,2
6,"Broward","Florida","BARNETT LAKEVIEW ALF INC","ALF","9/22/2020",0,1,0
6,"Broward","Florida","ATRIA TAMARAC","ALF","9/24/2020",2,0,0
6,"Broward","Florida","BROOKDALE DEER CREEK","ALF","9/24/2020",0,1,0
6,"Broward","Florida","BROWARD HOUSE, INC.","ALF","9/8/2020",1,0,3
6,"Broward","Florida","BROWARD NURSING & REHABILITATION CENTER","NH","9/23/2020",0,15,5
6,"Broward","Florida","BUCKINGHAM PLACE, LLC","ALF","9/24/2020",0,3,0
6,"Broward","Florida","CHILDREN'S COMPREHENSIVE CARE CENTER, INC.","NH","9/24/2020",0,0,4
6,"Broward","Florida","COLONIAL ASSISTED LIVING AT FORT LAUDERDALE","ALF","9/24/2020",0,0,1
6,"Broward","Florida","DEERFIELD BEACH HEALTH AND REHABILITATION CENTER","NH","9/24/2020",8,0,0
6,"Broward","Florida","EMERALD PARK OF HOLLYWOOD","ALF","9/24/2020",0,1,0
6,"Broward","Florida","FIRST CHOICE COMFORT CARE INCORPORATED","ALF","9/24/2020",1,0,0
6,"Broward","Florida","FIVE STAR PREMIER RESIDENCES OF HOLLYWOOD","ALF","9/24/2020",1,0,0
6,"Broward","Florida","FIVE STAR PREMIER RESIDENCES OF PLANTATION","ALF","9/24/2020",1,1,12
6,"Broward","Florida","FLAMINGO ALF","ALF","9/24/2020",0,1,0
6,"Broward","Florida","BINDA ASSISTED LIVING LLC","ALF","9/22/2020",0,0,1
6,"Broward","Florida","FT LAUDERDALE HEALTH AND REHABILITATION CENTER","NH","9/24/2020",1,0,0
6,"Broward","Florida","GLADES WEST REHABILITATION AND NURSING CENTER","NH","9/24/2020",0,2,1
6,"Broward","Florida","GOD'S VIP SENIOR HAVEN LLC","ALF","9/8/2020",0,5,0
6,"Broward","Florida","GOLDEN AGE SENIORS OF SUNRISE, INC.","ALF","9/24/2020",0,0,1
6,"Broward","Florida","GRAND COURT ALF LLC","ALF","9/24/2020",0,10,0
6,"Broward","Florida","GRAND VILLA OF DEERFIELD BEACH","ALF","9/24/2020",0,1,1
6,"Broward","Florida","GREEN LIFE ASSISTED LIVING FACILITY LLC","ALF","9/23/2020",0,0,1
6,"Broward","Florida","HAMPTON COURT ASSISTED LIVING","ALF","9/24/2020",0,0,1
6,"Broward","Florida","HARBOR BEACH NURSING AND REHABILITATION CENTER","NH","9/24/2020",0,0,1
6,"Broward","Florida","HARBORCHASE OF CORAL SPRINGS","ALF","9/21/2020",0,0,1
6,"Broward","Florida","HILLCREST HEALTH CARE AND REHABILITATION CENTER","NH","9/24/2020",23,8,7
6,"Broward","Florida","JOHN KNOX VILLAGE OF FLORIDA, INC.","ALF","9/24/2020",1,0,0
6,"Broward","Florida","FORUM AT DEER CREEK","NH","9/24/2020",0,2,1
6,"Broward","Florida","LIVEWELL AT CORAL PLAZA","ALF","9/24/2020",1,0,1
6,"Broward","Florida","MANOR PINES CONVALESCENT CENTER","NH","9/24/2020",0,0,1
6,"Broward","Florida","MARGATE HEALTH AND REHABILITATION CENTER","NH","9/24/2020",0,9,0
6,"Broward","Florida","NORTH LAKE RETIREMENT HOME INC","ALF","9/23/2020",1,0,0
6,"Broward","Florida","NSPIRE HEALTHCARE LAUDERHILL","NH","9/24/2020",9,5,37
6,"Broward","Florida","NSPIRE HEALTHCARE PLANTATION","NH","9/24/2020",5,11,0
6,"Broward","Florida","OAKMONTE VILLAGE OF DAVIE","ALF","9/23/2020",0,0,1
6,"Broward","Florida","PACIFICA SENIOR LIVING FOREST TRACE","ALF","9/22/2020",0,6,0
6,"Broward","Florida","PACIFICA SENIOR LIVING SUNRISE","ALF","9/22/2020",8,2,7
6,"Broward","Florida","PALMS CARE CENTER","NH","9/24/2020",0,11,0
6,"Broward","Florida","PARADISE VILLA RETIREMENT AT SHERIDAN #V","ALF","9/24/2020",0,3,0
