"DEPCODE","County","State","Facility","Provider Type","Update","Positive Residents","Positive Residents Transferred","Positive Staff"
1,"Alachua","Florida","19TH STREET GROUP HOME","ICF","7/17/2020","0","0","1"
1,"Alachua","Florida","AGENCY FOR PERSONS WITH DISABILITIES TACACHALE - FACILITY II","ICF","7/17/2020","5","0","2"
1,"Alachua","Florida","AGENCY FOR PERSONS WITH DISABILITIES TACACHALE - FACILITY V","ICF","7/17/2020","21","0","15"
1,"Alachua","Florida","AGENCY FOR PERSONS WITH DISABILITIES, TACACHALE - FACILITY VIII","ICF","7/17/2020","0","0","1"
1,"Alachua","Florida","BROOKDALE GAINESVILLE SOUTHWEST","ALF","7/17/2020","0","0","2"
1,"Alachua","Florida","HARBORCHASE OF GAINESVILLE","ALF","7/17/2020","0","0","3"
1,"Alachua","Florida","NORTH FLORIDA RETIREMENT VILLAGE","ALF","7/17/2020","0","0","1"
1,"Alachua","Florida","PALM GARDEN OF GAINESVILLE","NH","7/17/2020","0","3","1"
1,"Alachua","Florida","PARK MEADOWS HEALTH AND REHABILITATION CENTER","NH","7/17/2020","0","0","5"
1,"Alachua","Florida","PARKLANDS CARE CENTER","NH","7/17/2020","0","10","0"
1,"Alachua","Florida","PLANTATION OAKS SENIOR LIVING RESIDENCE","ALF","7/17/2020","3","0","2"
1,"Alachua","Florida","SIGNATURE HEALTHCARE OF GAINESVILLE","NH","7/17/2020","0","1","0"
1,"Alachua","Florida","TACACHALE - FACILITY IV","ICF","7/17/2020","2","0","5"
2,"Baker","Florida","MACCLENNY NURSING AND REHAB CENTER","NH","7/17/2020","0","0","5"
2,"Baker","Florida","W FRANK WELLS NURSING HOME","NH","7/17/2020","0","1","0"
3,"Bay","Florida","CLIFFORD CHESTER SIMS STATE VETERANS NURSING HOME","NH","7/17/2020","0","3","5"
3,"Bay","Florida","CREATIVE LIVING CENTERS, INC","ALF","7/17/2020","0","0","1"
3,"Bay","Florida","EMERALD SHORES HEALTH AND REHABILITATION","NH","7/17/2020","0","0","2"
3,"Bay","Florida","FLORIDA MENTOR","ICF","7/17/2020","2","0","2"
3,"Bay","Florida","FLORIDA MENTOR","ICF","7/17/2020","0","0","2"
3,"Bay","Florida","GARDEN VIEW ALF","ALF","7/17/2020","2","0","0"
3,"Bay","Florida","PANAMA CITY DEVELOPMENTAL CENTER","ICF","7/17/2020","10","6","0"
3,"Bay","Florida","PRUITTHEALTH - PANAMA CITY","NH","7/17/2020","0","0","5"
3,"Bay","Florida","ST ANDREWS BAY SKILLED NURSING AND REHABILITATION CENTER","NH","7/16/2020","0","1","7"
3,"Bay","Florida","SUMMER'S LANDING LLC","ALF","7/17/2020","0","2","3"
3,"Bay","Florida","SUPERIOR RESIDENCES OF PANAMA CITY BEACH","ALF","7/17/2020","0","1","3"
4,"Bradford","Florida","RIVERWOOD HEALTH & REHABILITATION CENTER","NH","7/17/2020","0","1","0"
4,"Bradford","Florida","WINDSOR HEALTH AND REHABILITATION CENTER","NH","7/17/2020","1","2","4"
5,"Brevard","Florida","ATLANTIC SHORES NURSING AND REHAB CENTER","NH","7/17/2020","1","1","2"
5,"Brevard","Florida","AUTUMN HOUSE","ALF","7/17/2020","0","0","1"
5,"Brevard","Florida","AVANTE AT MELBOURNE INC","NH","7/17/2020","18","1","0"
5,"Brevard","Florida","BROOKDALE MELBOURNE","ALF","7/17/2020","0","0","6"
5,"Brevard","Florida","BROOKSHIRE (THE)","ALF","7/17/2020","11","11","1"
5,"Brevard","Florida","BV ASSISTED LIVING INC","ALF","7/17/2020","0","0","3"
5,"Brevard","Florida","CARRIAGE HOUSE ALF","ALF","7/17/2020","2","2","1"
5,"Brevard","Florida","CEDAR CREEK","ALF","7/17/2020","0","0","1"
5,"Brevard","Florida","CONSULATE HEALTH CARE OF MELBOURNE","NH","7/17/2020","7","2","3"
5,"Brevard","Florida","COURTENAY SPRINGS VILLAGE","NH","7/17/2020","21","3","7"
5,"Brevard","Florida","CRESCENT WOOD","ALF","7/17/2020","4","0","6"
5,"Brevard","Florida","DISCOVERY VILLAGE AT MELBOURNE","ALF","7/17/2020","0","1","1"
5,"Brevard","Florida","FARRINGTON HOUSE ASSISTED LIVING FACILITY","ALF","7/17/2020","0","0","1"
5,"Brevard","Florida","FOUNTAINS OF MELBOURNE","ALF","7/17/2020","0","0","7"
5,"Brevard","Florida","GLENBROOKE AT PALM BAY","ALF","7/17/2020","0","0","3"
5,"Brevard","Florida","GREENWOOD PLACE","ALF","7/15/2020","0","4","1"
5,"Brevard","Florida","HUNTINGTON PLACE","NH","7/17/2020","0","0","1"
5,"Brevard","Florida","INDIAN RIVER CENTER","NH","7/17/2020","0","0","1"
5,"Brevard","Florida","ISLAND HEALTH AND REHABILITATION CENTER","NH","7/17/2020","0","0","2"
5,"Brevard","Florida","J & K ASSISTED LIVING, INC","ALF","7/17/2020","1","2","1"
5,"Brevard","Florida","LIFE CARE CENTER OF PALM BAY","NH","7/17/2020","0","0","5"
5,"Brevard","Florida","MARKET STREET VIERA","ALF","7/17/2020","0","0","2"
5,"Brevard","Florida","MELBOURNE TERRACE REHABILITATION CENTER","NH","7/17/2020","26","8","10"
5,"Brevard","Florida","PALM BAY FL OPCO LLC","NH","7/17/2020","0","0","1"
5,"Brevard","Florida","PALM COTTAGES OF ROCKLEDGE","ALF","7/17/2020","0","0","1"
5,"Brevard","Florida","PALMS REHABILITATION AND HEALTHCARE CENTER, THE","NH","7/17/2020","8","2","2"
5,"Brevard","Florida","ROCKLEDGE HEALTH AND REHABILITATION CENTER","NH","7/17/2020","0","19","26"
5,"Brevard","Florida","ROYAL OAKS NURSING AND REHAB CENTER","NH","7/17/2020","0","0","1"
5,"Brevard","Florida","SEASIDE VILLA ADULT LIVING FACILITY LLC","ALF","7/17/2020","0","0","1"
5,"Brevard","Florida","SOLARIS HEALTHCARE MERRITT ISLAND","NH","7/17/2020","0","4","7"
5,"Brevard","Florida","SONATA VIERA","ALF","7/17/2020","0","1","3"
5,"Brevard","Florida","SOUTHERN LIVING OF TITUSVILLE","ALF","7/17/2020","0","0","1"
5,"Brevard","Florida","TITUSVILLE REHABILITATION AND NURSING CENTER","NH","7/17/2020","0","8","4"
5,"Brevard","Florida","TITUSVILLE TOWERS ALF","ALF","7/17/2020","1","1","1"
5,"Brevard","Florida","VIERA DEL MAR HEALTH AND REHABILITATION CENTER","NH","7/17/2020","21","1","1"
5,"Brevard","Florida","VIERA HEALTH AND REHABILITATION CENTER","NH","7/17/2020","8","7","23"
5,"Brevard","Florida","WEST MELBOURNE HEALTH & REHABILITATION CENTER","NH","7/17/2020","1","0","13"
6,"Broward","Florida","ALEXANDER ""SANDY"" NININGER STATE VETERANS NURSING HOME","NH","7/17/2020","0","37","3"
6,"Broward","Florida","ALLEGRO","ALF","7/17/2020","0","0","1"
6,"Broward","Florida","ANN STORCK CENTER, INC.","ICF","7/17/2020","2","0","7"
6,"Broward","Florida","ANN STORCK CENTER, INC.","ICF","7/17/2020","0","0","5"
6,"Broward","Florida","ARTIS SENIOR LIVING OF DAVIE LLC","ALF","7/17/2020","19","6","9"
6,"Broward","Florida","ATRIA TAMARAC","ALF","7/17/2020","1","0","1"
6,"Broward","Florida","ATRIA WILLOW WOOD","ALF","7/17/2020","0","11","0"
6,"Broward","Florida","AVALON PARK RETIREMENT RESIDENCE, INC.","ALF","7/17/2020","0","2","0"
6,"Broward","Florida","BARC HOUSING INC.","ICF","7/17/2020","0","0","9"
6,"Broward","Florida","BROOKDALE DEER CREEK","ALF","7/17/2020","0","0","4"
6,"Broward","Florida","BROWARD NURSING & REHABILITATION CENTER","NH","7/17/2020","0","4","7"
6,"Broward","Florida","BUCKINGHAM PLACE, LLC","ALF","7/17/2020","0","3","1"
6,"Broward","Florida","CHILDREN'S COMPREHENSIVE CARE CENTER, INC.","NH","7/17/2020","0","0","2"
6,"Broward","Florida","COURT AT PALM AIRE, THE","NH","7/17/2020","0","0","3"
6,"Broward","Florida","COVENANT LIVING OF FLORIDA","ALF","7/17/2020","0","0","4"
6,"Broward","Florida","COVENANT VILLAGE CARE CENTER","NH","7/17/2020","0","0","2"
6,"Broward","Florida","DEERFIELD BEACH HEALTH AND REHABILITATION CENTER","NH","7/17/2020","0","15","27"
6,"Broward","Florida","DELMA HICKS ASSISTED LIVING FACILITY","ALF","7/17/2020","0","0","2"
6,"Broward","Florida","EAGLES EYES COMFORT CARE LLC","ALF","7/16/2020","0","0","1"
6,"Broward","Florida","EASTSIDE ACTIVE LIVING","ALF","7/17/2020","0","0","1"
6,"Broward","Florida","EMERALD PARK OF HOLLYWOOD","ALF","7/17/2020","0","0","3"
6,"Broward","Florida","FIVE STAR PREMIER RESIDENCES OF HOLLYWOOD","ALF","7/17/2020","0","0","1"
6,"Broward","Florida","FIVE STAR PREMIER RESIDENCES OF PLANTATION","ALF","7/17/2020","0","1","5"
6,"Broward","Florida","FIVE STAR PREMIER RESIDENCES OF POMPANO BEACH","ALF","7/17/2020","0","0","3"
6,"Broward","Florida","FLAMINGO ALF","ALF","7/17/2020","0","1","0"
6,"Broward","Florida","FOREST SPRING GARDEN, LLC","ALF","7/17/2020","0","0","1"
6,"Broward","Florida","FORUM AT DEER CREEK","NH","7/17/2020","1","4","6"
6,"Broward","Florida","FT LAUDERDALE HEALTH AND REHABILITATION CENTER","NH","7/17/2020","10","3","23"
6,"Broward","Florida","GLADES WEST REHABILITATION AND NURSING CENTER","NH","7/16/2020","0","3","4"
6,"Broward","Florida","GOLDEN AGE MANOR ALF","ALF","7/17/2020","0","1","0"
6,"Broward","Florida","GOLDEN SWAN ASSISTED LIVING, INC.","ALF","7/17/2020","2","2","0"
6,"Broward","Florida","GOLFCREST HEALTHCARE CENTER","NH","7/17/2020","3","0","6"
6,"Broward","Florida","GOOD HOPE MANOR","ALF","7/17/2020","0","6","2"
