"DEPCODE","County","State","Facility","Provider Type","Update","Positive Residents","Positive Residents Transferred","Positive Staff"
1,"Alachua","Florida","19TH STREET GROUP HOME","ICF","8/11/2020","0","0","1"
1,"Alachua","Florida","AGENCY FOR PERSONS WITH DISABILITIES TACACHALE - FACILITY I","ICF","8/11/2020","0","0","2"
1,"Alachua","Florida","AGENCY FOR PERSONS WITH DISABILITIES TACACHALE - FACILITY II","ICF","8/11/2020","1","0","7"
1,"Alachua","Florida","AGENCY FOR PERSONS WITH DISABILITIES TACACHALE - FACILITY V","ICF","8/11/2020","11","0","22"
1,"Alachua","Florida","AGENCY FOR PERSONS WITH DISABILITIES TACACHALE - FACILITY VII","ICF","8/11/2020","0","0","1"
1,"Alachua","Florida","AGENCY FOR PERSONS WITH DISABILITIES, TACACHALE - FACILITY VIII","ICF","8/11/2020","6","0","5"
1,"Alachua","Florida","BROOKDALE GAINESVILLE SOUTHWEST","ALF","8/11/2020","0","0","3"
1,"Alachua","Florida","HARBORCHASE OF GAINESVILLE","ALF","8/11/2020","0","0","4"
1,"Alachua","Florida","NORTH FLORIDA REHABILITATION AND SPECIALTY CARE","NH","8/11/2020","3","10","0"
1,"Alachua","Florida","NORTH FLORIDA RETIREMENT VILLAGE","ALF","8/10/2020","0","0","3"
1,"Alachua","Florida","PARK MEADOWS HEALTH AND REHABILITATION CENTER","NH","8/11/2020","0","0","9"
1,"Alachua","Florida","PARKLANDS CARE CENTER","NH","8/11/2020","0","10","2"
1,"Alachua","Florida","PLANTATION OAKS SENIOR LIVING RESIDENCE","ALF","8/11/2020","14","3","6"
1,"Alachua","Florida","PLAZA HEALTH AND REHAB","NH","8/11/2020","33","4","23"
1,"Alachua","Florida","RES-CARE, INC.","ICF","8/11/2020","0","0","1"
1,"Alachua","Florida","SIGNATURE HEALTHCARE OF GAINESVILLE","NH","8/11/2020","0","1","5"
1,"Alachua","Florida","SPLENDID CARE ASSISTED LIVING LLC","ALF","8/8/2020","1","0","1"
1,"Alachua","Florida","TACACHALE - FACILITY IV","ICF","8/11/2020","0","0","9"
1,"Alachua","Florida","TERRACE HEALTH & REHABILITATION CENTER","NH","8/11/2020","0","0","3"
