"State","County","Facility","Provider Type","Update","Positive Residents","Positive Residents Transferred","Positive Staff"
"Florida","Alachua","BROOKDALE GAINESVILLE SOUTHWEST","ALF","6/12/2020","0","0","1"
"Florida","Alachua","OAK HAMMOCK AT THE UNIVERSITY OF FLORIDA","ALF","6/14/2020","0","6","0"
"Florida","Alachua","PALM GARDEN OF GAINESVILLE","NH","6/14/2020","0","1","0"
"Florida","Alachua","PARKLANDS CARE CENTER","NH","6/14/2020","0","43","15"
"Florida","Alachua","PLAZA HEALTH AND REHAB","NH","6/14/2020","0","0","2"
"Florida","Alachua","SIGNATURE HEALTHCARE OF GAINESVILLE","NH","6/12/2020","0","1","0"
"Florida","Alachua","TERRACE HEALTH & REHABILITATION CENTER","NH","6/14/2020","1","0","1"
"Florida","Baker","MACCLENNY NURSING AND REHAB CENTER","NH","6/14/2020","0","2","0"
"Florida","Baker","W FRANK WELLS NURSING HOME","NH","6/14/2020","0","1","0"
"Florida","Bay","CLIFFORD CHESTER SIMS STATE VETERANS NURSING HOME","NH","6/14/2020","0","0","2"
"Florida","Bay","PRUITTHEALTH - PANAMA CITY","NH","6/14/2020","0","0","2"
"Florida","Bradford","RIVERWOOD HEALTH & REHABILITATION CENTER","NH","6/14/2020","0","1","1"
"Florida","Bradford","WINDSOR HEALTH AND REHABILITATION CENTER","NH","6/14/2020","1","2","1"
"Florida","Brevard","BROOKSHIRE (THE)","ALF","6/14/2020","0","0","1"
"Florida","Brevard","DISCOVERY VILLAGE AT MELBOURNE","ALF","6/14/2020","0","1","0"
"Florida","Brevard","ELITE GARDEN ROCKLEDGE LLC","ALF","6/14/2020","1","0","1"
"Florida","Brevard","GREENWOOD PLACE","ALF","6/14/2020","0","4","0"
"Florida","Brevard","ISLAND HEALTH AND REHABILITATION CENTER","NH","6/12/2020","0","0","2"
"Florida","Brevard","WAVE CREST HEALTH AND REHABILITATION CENTER","NH","6/14/2020","0","0","7"
"Florida","Broward","ALEXANDER ""SANDY"" NININGER STATE VETERANS NURSING HOME","NH","6/14/2020","0","37","18"
"Florida","Broward","ATRIA WILLOW WOOD","ALF","6/14/2020","2","11","0"
"Florida","Broward","AVALON PARK RETIREMENT RESIDENCE, INC.","ALF","6/13/2020","0","3","0"
"Florida","Broward","BARC HOUSING INC.","ICF","6/14/2020","0","0","1"
"Florida","Broward","BRIGHT HORIZONS OF RAMBLEWOOD, INC.","ALF","6/14/2020","0","4","0"
"Florida","Broward","BROWARD NURSING & REHABILITATION CENTER","NH","6/14/2020","0","2","7"
"Florida","Broward","COURT AT PALM AIRE, THE","NH","6/14/2020","3","6","0"
"Florida","Broward","COVENANT VILLAGE CARE CENTER","NH","6/14/2020","0","2","10"
"Florida","Broward","DEERFIELD BEACH HEALTH AND REHABILITATION CENTER","NH","6/14/2020","0","0","2"
"Florida","Broward","EMBASSY RETIREMENT HOME OF MARGATE","ALF","6/14/2020","0","0","1"
"Florida","Broward","EMERALD PARK OF HOLLYWOOD","ALF","6/12/2020","0","0","1"
"Florida","Broward","FIVE STAR PREMIER RESIDENCES OF HOLLYWOOD","ALF","6/14/2020","1","0","4"
"Florida","Broward","FIVE STAR PREMIER RESIDENCES OF PLANTATION","ALF","6/14/2020","0","1","1"
"Florida","Broward","FLAMINGO ALF","ALF","6/14/2020","0","1","0"
"Florida","Broward","FORUM AT DEER CREEK","NH","6/14/2020","0","2","3"
"Florida","Broward","FT LAUDERDALE HEALTH AND REHABILITATION CENTER","NH","6/14/2020","0","0","7"
"Florida","Broward","GLADES WEST REHABILITATION AND NURSING CENTER","NH","6/12/2020","0","0","1"
"Florida","Broward","GOLFCREST HEALTHCARE CENTER","NH","6/14/2020","0","0","1"
"Florida","Broward","GOOD HOPE MANOR","ALF","6/12/2020","0","6","0"
"Florida","Broward","HARBORCHASE OF TAMARAC","ALF","6/12/2020","0","2","3"
"Florida","Broward","HILLCREST HEALTH CARE AND REHABILITATION CENTER","NH","6/14/2020","0","6","5"
"Florida","Broward","JOHN KNOX VILLAGE OF FLORIDA, INC.","ALF","6/14/2020","0","0","1"
"Florida","Broward","JOHN KNOX VILLAGE OF POMPANO BEACH","NH","6/14/2020","0","0","1"
"Florida","Broward","LIFE CARE CENTER OF INVERRARY","NH","6/14/2020","0","2","6"
"Florida","Broward","LINCOLN MANOR","ALF","6/14/2020","0","0","1"
"Florida","Broward","MAGGYS HOME CARE III INC","ALF","6/14/2020","3","1","0"
"Florida","Broward","MANOR PINES CONVALESCENT CENTER","NH","6/14/2020","0","1","3"
"Florida","Broward","MARGATE HEALTH AND REHABILITATION CENTER","NH","6/14/2020","10","10","9"
"Florida","Broward","MEMORIAL MANOR","NH","6/14/2020","0","3","1"
"Florida","Broward","NEW HORIZON OF TAMARAC","ALF","6/14/2020","1","0","0"
"Florida","Broward","NORTH LAKE RETIREMENT HOME INC","ALF","6/12/2020","0","0","1"
"Florida","Broward","NSPIRE HEALTHCARE LAUDERHILL","NH","6/14/2020","56","12","17"
"Florida","Broward","NSPIRE HEALTHCARE PLANTATION","NH","6/14/2020","18","8","4"
"Florida","Broward","NSPIRE HEALTHCARE TAMARAC","NH","6/14/2020","0","2","4"
"Florida","Broward","OAKMONTE VILLAGE OF DAVIE","ALF","6/14/2020","0","2","1"
"Florida","Broward","PACIFICA SENIOR LIVING FOREST TRACE","ALF","6/13/2020","4","1","6"
"Florida","Broward","PALMS CARE CENTER","NH","6/13/2020","7","29","14"
"Florida","Broward","PARK SUMMIT AT CORAL SPRINGS","NH","6/12/2020","0","4","4"
"Florida","Broward","PARK SUMMIT AT CORAL SPRINGS","ALF","6/14/2020","0","1","1"
"Florida","Broward","PLANTATION NURSING & REHABILITATION CENTER","NH","6/14/2020","0","1","1"
"Florida","Broward","POMPANO HEALTH AND REHABILITATION CENTER","NH","6/14/2020","3","12","3"
"Florida","Broward","PRESIDENTIAL PLACE","ALF","6/11/2020","0","6","4"
"Florida","Broward","REGENTS PARK OF SUNRISE","NH","6/14/2020","0","2","1"
"Florida","Broward","SAEJCA'S CASTLE LLC","ALF","6/14/2020","0","5","0"
"Florida","Broward","SEAVIEW NURSING AND REHABILITATION CENTER","NH","6/14/2020","0","0","1"
"Florida","Broward","SOLARIS HEALTHCARE COCONUT CREEK","NH","6/14/2020","0","1","5"
"Florida","Broward","ST JOSEPH RESIDENCE, INC.","ALF","6/14/2020","0","0","1"
"Florida","Broward","ST. JOHN'S NURSING CENTER","NH","6/13/2020","4","2","3"
"Florida","Broward","SUNRISE HEALTH AND REHABILITATION CENTER","NH","6/14/2020","0","0","4"
"Florida","Broward","TAMARAC REHABILITATION AND HEALTH CENTER, INC.","NH","6/14/2020","2","2","6"
"Florida","Broward","THE COURT AT PALM AIRE","ALF","6/14/2020","2","1","1"
"Florida","Broward","THE FORUM AT DEER CREEK","ALF","6/14/2020","0","0","1"
"Florida","Broward","THE MERIDIAN AT WATERWAYS","ALF","6/14/2020","0","0","2"
"Florida","Broward","THE PRESERVE AT PALM AIRE","ALF","6/14/2020","0","1","3"
"Florida","Broward","THE SHERIDAN AT COOPER CITY","ALF","6/14/2020","0","1","1"
"Florida","Broward","TREEMONT ON THE PARK","ALF","6/14/2020","0","0","1"
"Florida","Broward","VILLA RIO VISTA","ALF","6/14/2020","0","1","0"
"Florida","Broward","VIZCAYA BY THE SEA","ALF","6/13/2020","0","0","1"
"Florida","Broward","WEST BROWARD REHABILITATION AND HEALTHCARE","NH","6/14/2020","0","0","8"
"Florida","Broward","WESTCHESTER OF SUNRISE","ALF","6/13/2020","1","0","2"
"Florida","Broward","WILTON MANORS HEALTH & REHABILITATION CENTER","NH","6/14/2020","7","0","7"
"Florida","Calhoun","BLOUNTSTOWN HEALTH AND REHABILITATION CENTER","NH","6/14/2020","31","7","16"
"Florida","Calhoun","RIVER VALLEY REHABILITATION CENTER","NH","6/14/2020","0","1","2"
"Florida","Charlotte","DOUGLAS JACOBSON STATE VETERANS NURSING HOME","NH","6/14/2020","0","0","2"
"Florida","Charlotte","HARBOUR HEALTH ASSISTED LIVING","ALF","6/14/2020","0","16","0"
"Florida","Charlotte","HARBOUR HEALTH CENTER","NH","6/14/2020","1","7","5"
"Florida","Charlotte","LIFE CARE CENTER OF PUNTA GORDA","NH","6/14/2020","2","3","1"
"Florida","Charlotte","PORT CHARLOTTE REHABILITATION CENTER","NH","6/14/2020","20","1","0"
"Florida","Charlotte","ROYAL PALM RETIREMENT CENTRE","ALF","6/14/2020","0","0","1"
"Florida","Charlotte","SIGNATURE HEALTHCARE OF PORT CHARLOTTE","NH","6/12/2020","11","2","12"
"Florida","Charlotte","SOLARIS HEALTHCARE CHARLOTTE HARBOR","NH","6/14/2020","20","3","15"
"Florida","Charlotte","VICK STREET MANOR","ALF","6/14/2020","3","3","8"
"Florida","Charlotte","VILLAGE PLACE HEALTH AND REHABILITATION CENTER","NH","6/14/2020","0","1","0"
"Florida","Charlotte","VILLAGE PLACE RETIREMENT","ALF","6/14/2020","2","8","0"
"Florida","Citrus","ARBOR TRAIL REHAB AND SKILLED NURSING CENTER","NH","6/14/2020","3","0","0"
"Florida","Citrus","FLORIDA MENTOR","ICF","6/14/2020","0","0","2"
"Florida","Citrus","SUNFLOWER SPRINGS LLC","ALF","6/12/2020","0","1","0"
"Florida","Citrus","SUPERIOR RESIDENCES OF LECANTO","ALF","6/14/2020","1","1","0"
"Florida","Clay","DIAMOND ALF, LLC","ALF","6/12/2020","0","3","0"
"Florida","Clay","GOVERNORS CREEK HEALTH AND REHABILITATION","NH","6/13/2020","0","35","6"
"Florida","Clay","HEARTLAND HEALTH CARE CENTER - ORANGE PARK","NH","6/14/2020","8","0","0"
"Florida","Clay","ISLE HEALTH & REHABILITATION CENTER","NH","6/13/2020","0","0","1"
"Florida","Clay","LIFE CARE CENTER AT WELLS CROSSING","NH","6/14/2020","0","2","1"
"Florida","Clay","SIGNATURE HEALTHCARE OF ORANGE PARK","NH","6/14/2020","0","0","2"
"Florida","Collier","ALL SEASONS IN NAPLES LLC","ALF","6/13/2020","0","4","10"
"Florida","Collier","ARBOR GLEN AT ARBOR TRACE","ALF","6/14/2020","0","0","2"
"Florida","Collier","ARDEN COURTS OF LELY PALMS","ALF","6/14/2020","0","0","1"
"Florida","Collier","BEACH HOUSE NAPLES ASSISTED LIVING & MEMORY CARE","ALF","6/14/2020","0","0","1"
"Florida","Collier","BENTLEY CARE CENTER","NH","6/14/2020","0","6","14"
"Florida","Collier","BENTLEY VILLAGE","ALF","6/14/2020","0","1","6"
"Florida","Collier","CARLISLE NAPLES","ALF","6/14/2020","1","0","0"
