"DEPCODE","County","State","Facility","Provider Type","Update","Positive Residents","Positive Residents Transferred","Positive Staff"
1,"Alachua","Florida","AGENCY FOR PERSONS WITH DISABILITIES TACACHALE - FACILITY V","ICF","6/24/2020","0","0","1"
1,"Alachua","Florida","BROOKDALE GAINESVILLE SOUTHWEST","ALF","6/24/2020","0","0","1"
1,"Alachua","Florida","OAK HAMMOCK AT THE UNIVERSITY OF FLORIDA","ALF","6/24/2020","0","6","0"
1,"Alachua","Florida","PALM GARDEN OF GAINESVILLE","NH","6/24/2020","0","1","0"
1,"Alachua","Florida","PARKLANDS CARE CENTER","NH","6/24/2020","0","43","15"
1,"Alachua","Florida","PLAZA HEALTH AND REHAB","NH","6/24/2020","1","0","2"
1,"Alachua","Florida","SIGNATURE HEALTHCARE OF GAINESVILLE","NH","6/24/2020","0","1","0"
1,"Alachua","Florida","TERRACE HEALTH & REHABILITATION CENTER","NH","6/24/2020","1","0","1"
1,"Alachua","Florida","WINDSOR OF GAINESVILLE ASSISTED LIVING & MEMORY CARE THE","ALF","6/24/2020","0","0","2"
2,"Baker","Florida","MACCLENNY NURSING AND REHAB CENTER","NH","6/24/2020","0","2","0"
2,"Baker","Florida","W FRANK WELLS NURSING HOME","NH","6/24/2020","0","1","0"
3,"Bay","Florida","PANAMA CITY DEVELOPMENTAL CENTER","ICF","6/24/2020","6","0","1"
3,"Bay","Florida","PRUITTHEALTH - PANAMA CITY","NH","6/24/2020","0","0","2"
4,"Bradford","Florida","RIVERWOOD HEALTH & REHABILITATION CENTER","NH","6/24/2020","0","1","1"
4,"Bradford","Florida","WINDSOR HEALTH AND REHABILITATION CENTER","NH","6/24/2020","0","2","0"
5,"Brevard","Florida","BROOKSHIRE (THE)","ALF","6/24/2020","0","0","1"
5,"Brevard","Florida","DISCOVERY VILLAGE AT MELBOURNE","ALF","6/24/2020","0","1","0"
5,"Brevard","Florida","FOUNTAINS OF MELBOURNE","ALF","6/24/2020","0","0","1"
5,"Brevard","Florida","GREENWOOD PLACE","ALF","6/22/2020","0","4","0"
5,"Brevard","Florida","INDIAN RIVER CENTER","NH","6/24/2020","0","0","1"
