"DEPCODE","County","State","Facility","Provider Type","Update","Positive Residents","Positive Residents Transferred","Positive Staff"
1,"Alachua","Florida","AGENCY FOR PERSONS WITH DISABILITIES TACACHALE - FACILITY V","ICF","7/7/2020","15","0","8"
1,"Alachua","Florida","AGENCY FOR PERSONS WITH DISABILITIES, TACACHALE - FACILITY VIII","ICF","7/7/2020","0","0","1"
1,"Alachua","Florida","BROOKDALE GAINESVILLE SOUTHWEST","ALF","7/7/2020","0","0","2"
1,"Alachua","Florida","HUNTER'S CROSSING PLACE-MEMORY CARE","ALF","7/7/2020","1","1","0"
1,"Alachua","Florida","NORTH FLORIDA REHABILITATION AND SPECIALTY CARE","NH","7/7/2020","0","0","1"
1,"Alachua","Florida","NORTH FLORIDA RETIREMENT VILLAGE","ALF","7/7/2020","0","0","1"
1,"Alachua","Florida","OAK HAMMOCK AT THE UNIVERSITY OF FLORIDA","ALF","7/7/2020","0","6","0"
1,"Alachua","Florida","PALM GARDEN OF GAINESVILLE","NH","7/6/2020","0","1","0"
1,"Alachua","Florida","PARK MEADOWS HEALTH AND REHABILITATION CENTER","NH","7/7/2020","0","0","3"
1,"Alachua","Florida","PARKLANDS CARE CENTER","NH","7/7/2020","0","43","20"
1,"Alachua","Florida","PLAZA HEALTH AND REHAB","NH","7/7/2020","0","0","1"
1,"Alachua","Florida","SIGNATURE HEALTHCARE OF GAINESVILLE","NH","7/7/2020","0","1","0"
1,"Alachua","Florida","TACACHALE - FACILITY IV","ICF","7/7/2020","2","0","4"
1,"Alachua","Florida","TERRACE HEALTH & REHABILITATION CENTER","NH","7/7/2020","1","0","3"
2,"Baker","Florida","MACCLENNY NURSING AND REHAB CENTER","NH","7/7/2020","0","2","2"
2,"Baker","Florida","W FRANK WELLS NURSING HOME","NH","7/7/2020","0","1","0"
3,"Bay","Florida","CLIFFORD CHESTER SIMS STATE VETERANS NURSING HOME","NH","7/7/2020","0","1","1"
3,"Bay","Florida","CREATIVE LIVING CENTERS, INC","ALF","7/7/2020","0","0","1"
3,"Bay","Florida","FLORIDA MENTOR","ICF","7/7/2020","0","0","1"
3,"Bay","Florida","PANAMA CITY DEVELOPMENTAL CENTER","ICF","7/7/2020","17","6","17"
3,"Bay","Florida","PRUITTHEALTH - PANAMA CITY","NH","7/7/2020","0","0","3"
3,"Bay","Florida","ST ANDREWS BAY SKILLED NURSING AND REHABILITATION CENTER","NH","7/7/2020","0","0","5"
3,"Bay","Florida","SUMMER'S LANDING LLC","ALF","7/7/2020","0","1","2"
3,"Bay","Florida","SUPERIOR RESIDENCES OF PANAMA CITY BEACH","ALF","7/7/2020","1","0","0"
4,"Bradford","Florida","RIVERWOOD HEALTH & REHABILITATION CENTER","NH","7/7/2020","0","1","1"
4,"Bradford","Florida","WINDSOR HEALTH AND REHABILITATION CENTER","NH","7/7/2020","0","2","0"
5,"Brevard","Florida","ATLANTIC SHORES NURSING AND REHAB CENTER","NH","7/7/2020","0","0","3"
5,"Brevard","Florida","AUTUMN HOUSE","ALF","7/7/2020","0","0","1"
5,"Brevard","Florida","AVANTE AT MELBOURNE INC","NH","7/7/2020","0","0","2"
5,"Brevard","Florida","BROOKDALE MELBOURNE","ALF","7/7/2020","0","0","2"
5,"Brevard","Florida","BROOKSHIRE (THE)","ALF","7/7/2020","2","0","1"
5,"Brevard","Florida","CONSULATE HEALTH CARE OF MELBOURNE","NH","7/7/2020","0","0","1"
5,"Brevard","Florida","COURTENAY SPRINGS VILLAGE","NH","7/7/2020","1","0","3"
5,"Brevard","Florida","DISCOVERY VILLAGE AT MELBOURNE","ALF","7/7/2020","0","1","0"
5,"Brevard","Florida","ELITE GARDEN ROCKLEDGE LLC","ALF","7/7/2020","0","0","3"
5,"Brevard","Florida","FARRINGTON HOUSE ASSISTED LIVING FACILITY","ALF","7/7/2020","0","0","1"
5,"Brevard","Florida","FOUNTAINS OF MELBOURNE","ALF","7/7/2020","0","0","7"
5,"Brevard","Florida","GLENBROOKE AT PALM BAY","ALF","7/7/2020","0","0","1"
5,"Brevard","Florida","GRAND VILLA OF MELBOURNE","ALF","7/7/2020","0","1","0"
5,"Brevard","Florida","GREENWOOD PLACE","ALF","7/7/2020","0","4","0"
5,"Brevard","Florida","INDIAN RIVER CENTER","NH","7/7/2020","0","0","1"
5,"Brevard","Florida","ISLAND HEALTH AND REHABILITATION CENTER","NH","7/7/2020","0","0","6"
5,"Brevard","Florida","LIFE CARE CENTER OF PALM BAY","NH","7/7/2020","0","0","3"
5,"Brevard","Florida","MELBOURNE TERRACE REHABILITATION CENTER","NH","7/7/2020","0","1","2"
5,"Brevard","Florida","PALMS REHABILITATION AND HEALTHCARE CENTER, THE","NH","7/7/2020","0","0","3"
5,"Brevard","Florida","ROCKLEDGE HEALTH AND REHABILITATION CENTER","NH","7/7/2020","2","0","5"
5,"Brevard","Florida","ROYAL OAKS NURSING AND REHAB CENTER","NH","7/7/2020","0","2","1"
5,"Brevard","Florida","SEASIDE VILLA ADULT LIVING FACILITY LLC","ALF","7/7/2020","0","0","1"
5,"Brevard","Florida","SOLARIS HEALTHCARE MERRITT ISLAND","NH","7/7/2020","0","1","8"
5,"Brevard","Florida","SOLARIS SENIOR LIVING MERRITT ISLAND","ALF","7/7/2020","0","0","1"
