"DEPCODE","County","State","Facility","Provider Type","Update","Positive Residents","Positive Residents Transferred","Positive Staff"
1,"Alachua","Florida","AGENCY FOR PERSONS WITH DISABILITIES TACACHALE - FACILITY V","ICF","10/10/2020",0,0,24
1,"Alachua","Florida","AGENCY FOR PERSONS WITH DISABILITIES TACACHALE - FACILITY VII","ICF","10/10/2020",0,0,5
1,"Alachua","Florida","AGENCY FOR PERSONS WITH DISABILITIES TACACHALE - FACILITY I","ICF","10/10/2020",1,0,5
1,"Alachua","Florida","AGENCY FOR PERSONS WITH DISABILITIES TACACHALE - FACILITY II","ICF","10/10/2020",0,0,11
1,"Alachua","Florida","NORTH FLORIDA REHABILITATION AND SPECIALTY CARE","NH","10/10/2020",0,27,1
1,"Alachua","Florida","OAK HAMMOCK AT THE UNIVERSITY OF FLORIDA INC","NH","10/9/2020",0,0,1
1,"Alachua","Florida","AGENCY FOR PERSONS WITH DISABILITIES, TACACHALE - FACILITY VIII","ICF","10/10/2020",0,0,11
1,"Alachua","Florida","PARKLANDS CARE CENTER","NH","10/10/2020",0,10,0
1,"Alachua","Florida","PLANTATION OAKS SENIOR LIVING RESIDENCE","ALF","9/28/2020",0,3,0
1,"Alachua","Florida","SIGNATURE HEALTHCARE OF GAINESVILLE","NH","10/10/2020",0,1,3
1,"Alachua","Florida","SPLENDID CARE ASSISTED LIVING LLC","ALF","10/10/2020",0,2,0
1,"Alachua","Florida","TACACHALE - FACILITY IV","ICF","10/10/2020",0,0,27
1,"Alachua","Florida","TERRACE HEALTH & REHABILITATION CENTER","NH","9/22/2020",3,2,4
1,"Alachua","Florida","PARK MEADOWS HEALTH AND REHABILITATION CENTER","NH","10/10/2020",0,0,13
1,"Alachua","Florida","BROOKDALE GAINESVILLE SOUTHWEST","ALF","10/10/2020",0,0,3
3,"Bay","Florida","COMMUNITY HEALTH AND REHABILITATION CENTER","NH","10/10/2020",0,0,1
3,"Bay","Florida","CREATIVE LIVING CENTERS, INC","ALF","10/3/2020",0,0,1
3,"Bay","Florida","ST ANDREWS BAY SKILLED NURSING AND REHABILITATION CENTER","NH","10/10/2020",0,13,0
3,"Bay","Florida","SUPERIOR RESIDENCES OF PANAMA CITY BEACH","ALF","10/10/2020",0,1,2
3,"Bay","Florida","EMERALD SHORES HEALTH AND REHABILITATION","NH","10/10/2020",0,1,4
3,"Bay","Florida","MATHISON RETIREMENT COMMUNITY INC","ALF","10/9/2020",0,0,2
4,"Bradford","Florida","RIVERWOOD HEALTH & REHABILITATION CENTER","NH","10/10/2020",0,3,0
