"DEPCODE","County","State","Facility","Provider Type","Update","Positive Residents","Positive Residents Transferred","Positive Staff"
1,"Alachua","Florida","AGENCY FOR PERSONS WITH DISABILITIES TACACHALE - FACILITY II","ICF","8/27/2020","1","0","7"
1,"Alachua","Florida","AGENCY FOR PERSONS WITH DISABILITIES TACACHALE - FACILITY V","ICF","8/27/2020","0","0","24"
1,"Alachua","Florida","AGENCY FOR PERSONS WITH DISABILITIES TACACHALE - FACILITY VII","ICF","8/27/2020","0","0","3"
1,"Alachua","Florida","AGENCY FOR PERSONS WITH DISABILITIES, TACACHALE - FACILITY VIII","ICF","8/27/2020","4","0","11"
1,"Alachua","Florida","BROOKDALE GAINESVILLE SOUTHWEST","ALF","8/27/2020","0","0","3"
1,"Alachua","Florida","HARBORCHASE OF GAINESVILLE","ALF","8/27/2020","0","0","2"
1,"Alachua","Florida","NORTH FLORIDA REHABILITATION AND SPECIALTY CARE","NH","8/27/2020","8","21","9"
1,"Alachua","Florida","NORTH FLORIDA RETIREMENT VILLAGE","ALF","8/25/2020","0","0","9"
1,"Alachua","Florida","OAK HAMMOCK AT THE UNIVERSITY OF FLORIDA","ALF","8/27/2020","0","1","1"
1,"Alachua","Florida","OAK HAMMOCK AT THE UNIVERSITY OF FLORIDA INC","NH","8/27/2020","0","0","1"
1,"Alachua","Florida","PARK MEADOWS HEALTH AND REHABILITATION CENTER","NH","8/27/2020","0","0","11"
1,"Alachua","Florida","PARKLANDS CARE CENTER","NH","8/27/2020","0","10","1"
1,"Alachua","Florida","PLANTATION OAKS SENIOR LIVING RESIDENCE","ALF","8/27/2020","0","3","0"
1,"Alachua","Florida","PLAZA HEALTH AND REHAB","NH","8/27/2020","1","1","0"
1,"Alachua","Florida","RES-CARE, INC.","ICF","8/27/2020","0","0","1"
1,"Alachua","Florida","SIGNATURE HEALTHCARE OF GAINESVILLE","NH","8/27/2020","0","1","3"
1,"Alachua","Florida","SPLENDID CARE ASSISTED LIVING LLC","ALF","8/19/2020","1","1","1"
1,"Alachua","Florida","TACACHALE - FACILITY IV","ICF","8/27/2020","11","0","13"
1,"Alachua","Florida","TERRACE HEALTH & REHABILITATION CENTER","NH","8/27/2020","0","0","3"
1,"Alachua","Florida","WINDSOR OF GAINESVILLE ASSISTED LIVING & MEMORY CARE THE","ALF","8/27/2020","1","0","1"
2,"Baker","Florida","THE CLAIR WINSTON HOUSE, LLC","ALF","8/27/2020","0","0","2"
3,"Bay","Florida","BROOKDALE PANAMA CITY","ALF","8/27/2020","0","0","1"
3,"Bay","Florida","CLIFFORD CHESTER SIMS STATE VETERANS NURSING HOME","NH","8/27/2020","0","22","20"
3,"Bay","Florida","CREATIVE LIVING CENTERS, INC","ALF","8/27/2020","0","0","1"
